date,datetime,desc,img,link,media,title
1 week ago,2020-12-26 12:25:17.398846,(Bloomberg) -- Shares of Moderna Inc. and BioNTech SE dropped in heavy volume as the vaccine makers saw their worst day in the stock market since late ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://finance.yahoo.com/news/moderna-biontech-post-worst-day-204014606.html,Yahoo Tech,"Moderna, BioNTech Post Worst Day for Vaccine Stocks in a Month"
2 weeks ago,2020-12-19 12:25:17.399843,Boxes containing the Moderna coronavirus vaccine are prepared to be shipped at a McKesson distribution center. 1of4Boxes containing the Moderna coronavirus ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.sfchronicle.com/bayarea/article/Moderna-vaccine-could-arrive-in-California-on-15818197.php,San Francisco Chronicle,"Moderna vaccine could arrive in California on Monday, giving hope amid the surge"
2 weeks ago,2020-12-19 12:25:17.400839,"Following the distribution of the Pfizer vaccine last week, Moderna's effort means the U.S. now has two vaccines in its arsenal to fight the coronavirus.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nbcnews.com/news/us-news/first-shipments-moderna-vaccine-roll-out-new-weapon-u-s-n1251856,NBC News,"First shipments of Moderna vaccine roll out, a new weapon in U.S. Covid-19 response"
2 weeks ago,2020-12-19 12:25:17.402759,Much-needed doses are set to arrive Monday after the Food and Drug Administration authorized an emergency rollout of the vaccine developed by Moderna Inc.,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/health-michael-pence-coronavirus-pandemic-coronavirus-vaccine-0689620e4207b39cfbbf301f02b6b843,Associated Press,"US clears Moderna vaccine for COVID-19, 2nd shot in arsenal"
2 weeks ago,2020-12-19 12:25:17.403831,(CNN) Moderna's coronavirus vaccine is similar to the Pfizer-BioNTech vaccine that was the first Covid-19 vaccine authorized and shipped out to the first ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnn.com/2020/12/17/health/moderna-vaccine-what-we-know/index.html,CNN,What we know about Moderna's coronavirus vaccine and how it differs from Pfizer's
2 weeks ago,2020-12-19 12:25:17.404829,"The Moderna vaccine can be distributed more widely because it can be stored at normal freezer temperatures and, unlike the Pfizer-BioNTech vaccine, does not ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/12/17/health/covid-vaccine-fda-moderna.html,The New York Times,F.D.A. Panel Endorses Moderna's Coronavirus Vaccine
2 weeks ago,2020-12-19 12:25:17.406822,The emergency use authorization allows the Moderna COVID-19 Vaccine to be distributed in the U.S. for use in individuals 18 years of age and older. â€œWith the ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fda.gov/news-events/press-announcements/fda-takes-additional-action-fight-against-covid-19-issuing-emergency-use-authorization-second-covid,,FDA Takes Additional Action in Fight Against COVID-19 By ...
1 month ago,2020-12-02 12:25:17.408818,"Both Moderna's and Pfizer's vaccines use a synthetic form of genetic material from the coronavirus called messenger RNA, or mRNA, to program a person's cells to ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/11/30/health/covid-vaccine-moderna.html,The New York Times,Moderna Is Applying for Emergency F.D.A. Approval for Its Coronavirus Vaccine
2 weeks ago,2020-12-19 12:25:17.409815,"Moderna will begin shipping millions of doses, earmarked for health workers and nursing home residents, to boost the largest vaccination effort in U.S. history. The ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fox2detroit.com/news/fda-to-rapidly-work-toward-authorizing-moderna-covid-19-vaccine-after-panel-endorsement,FOX 2 Detroit,FDA authorizes Moderna COVID-19 vaccine for emergency use
4 days ago,2020-12-29 12:25:17.410813,"Moderna, a Massachusetts-based vaccine developer, partnered with the National Institutes of Health to develop and test a coronavirus vaccine known as ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/interactive/2020/health/moderna-covid-19-vaccine.html,The New York Times,How Moderna's Covid-19 Vaccine Works
2 weeks ago,2020-12-19 12:25:19.822642,"Both Moderna's vaccine and the one developed by Pfizer and its partner BioNTech, which was granted an EUA last week, use messenger RNA to instruct the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.statnews.com/2020/12/17/moderna-vaccine-fda-panel/,STAT,FDA advisory panel endorses Moderna Covid-19 vaccine
