date,compound,positive,negative,neutral
11/1/2019,0.4939,0.127,0,0.873
11/1/2019,0,0,0,1
11/1/2019,0.6124,0.25,0,0.75
11/1/2019,-0.1027,0.079,0.094,0.827
11/1/2019,0,0,0,1
11/1/2019,-0.4588,0,0.125,0.875
11/1/2019,0,0,0,1
11/1/2019,0.0516,0.11,0.102,0.787
11/1/2019,0,0,0,1
11/1/2019,0,0,0,1
11/2/2019,0,0,0,1
11/2/2019,0,0,0,1
11/3/2019,0.4215,0.097,0,0.903
11/3/2019,0,0,0,1
11/3/2019,0,0,0,1
11/4/2019,0.4939,0.138,0,0.862
11/4/2019,0.3182,0.108,0,0.892
11/4/2019,0.296,0.078,0,0.922
11/4/2019,-0.1027,0.079,0.094,0.827
11/4/2019,-0.296,0,0.136,0.864
11/4/2019,0.4019,0.137,0,0.863
11/4/2019,-0.7184,0.094,0.281,0.625
11/4/2019,0.7003,0.234,0,0.766
11/4/2019,0,0,0,1
11/4/2019,-0.1027,0.079,0.094,0.827
11/4/2019,0.6124,0.208,0,0.792
11/5/2019,0,0,0,1
11/5/2019,0,0,0,1
11/5/2019,0.4404,0.121,0,0.879
11/5/2019,-0.1027,0,0.06,0.94
11/5/2019,-0.1027,0.079,0.094,0.827
11/5/2019,-0.9455,0,0.399,0.601
11/5/2019,0.2263,0.083,0,0.917
11/5/2019,0.2263,0.083,0,0.917
11/5/2019,0,0,0,1
11/6/2019,0.5574,0.153,0,0.847
11/6/2019,0.7096,0.204,0,0.796
11/6/2019,0,0,0,1
11/6/2019,0.0258,0.044,0,0.956
11/6/2019,0,0,0,1
11/6/2019,-0.1027,0.079,0.094,0.827
11/6/2019,0,0,0,1
11/6/2019,-0.4588,0,0.125,0.875
11/6/2019,0.4215,0.113,0,0.887
11/6/2019,0.34,0.088,0,0.912
11/6/2019,-0.34,0,0.103,0.897
11/6/2019,-0.34,0,0.103,0.897
11/7/2019,0,0,0,1
11/7/2019,0.6369,0.206,0,0.794
11/7/2019,0.4019,0.101,0,0.899
11/7/2019,0.296,0.084,0,0.916
11/7/2019,-0.1027,0.079,0.094,0.827
11/7/2019,0.4215,0.097,0,0.903
11/7/2019,0,0,0,1
11/7/2019,-0.1027,0,0.06,0.94
11/8/2019,0,0,0,1
11/8/2019,0,0,0,1
11/8/2019,-0.926,0,0.415,0.585
11/8/2019,0,0,0,1
11/8/2019,-0.1027,0.079,0.094,0.827
11/8/2019,0.7845,0.257,0,0.743
11/8/2019,0.296,0.084,0,0.916
11/8/2019,0,0,0,1
11/8/2019,0.6124,0.208,0,0.792
11/9/2019,0,0,0,1
11/9/2019,-0.5106,0,0.109,0.891
11/9/2019,0,0,0,1
11/9/2019,0.4404,0.164,0.067,0.769
11/9/2019,-0.1027,0.079,0.094,0.827
11/9/2019,-0.1027,0.079,0.094,0.827
11/9/2019,-0.1027,0.079,0.094,0.827
11/10/2019,0.2732,0.156,0.08,0.764
11/10/2019,0.296,0.084,0,0.916
11/10/2019,-0.1027,0.079,0.094,0.827
11/10/2019,0.2263,0.083,0,0.917
11/11/2019,0.4767,0.134,0,0.866
11/11/2019,0,0,0,1
11/11/2019,-0.1027,0.079,0.094,0.827
11/11/2019,0.3182,0.108,0,0.892
11/11/2019,0,0,0,1
11/11/2019,-0.296,0,0.078,0.922
11/11/2019,-0.1027,0.079,0.094,0.827
11/11/2019,0.4215,0.097,0,0.903
11/11/2019,0.4215,0.118,0,0.882
11/12/2019,0.6124,0.25,0,0.75
11/12/2019,0.0516,0.106,0.098,0.795
11/12/2019,0.5859,0.326,0,0.674
11/12/2019,0.2263,0.091,0,0.909
11/12/2019,0.2263,0.091,0,0.909
11/12/2019,0.2263,0.083,0,0.917
11/12/2019,0.6597,0.19,0,0.81
11/12/2019,0.3616,0.1,0.045,0.855
11/12/2019,0.6705,0.2,0,0.8
11/12/2019,0.6705,0.2,0,0.8
11/12/2019,0.6705,0.193,0,0.807
11/13/2019,0,0,0,1
11/13/2019,0.2732,0.156,0.08,0.764
11/13/2019,0,0,0,1
11/13/2019,0.765,0.275,0,0.725
11/13/2019,0.4215,0.097,0,0.903
11/13/2019,-0.1027,0.079,0.094,0.827
11/13/2019,0.128,0.157,0.132,0.711
11/13/2019,0.6124,0.25,0,0.75
11/13/2019,0.6124,0.227,0,0.773
11/13/2019,0.4404,0.1,0,0.9
11/13/2019,0.7506,0.242,0,0.758
11/13/2019,-0.1027,0.079,0.094,0.827
11/13/2019,-0.2732,0,0.107,0.893
11/13/2019,-0.4588,0,0.125,0.875
11/13/2019,0.0516,0.106,0.098,0.795
11/13/2019,0,0,0,1
11/14/2019,0.4404,0.146,0,0.854
11/14/2019,-0.4019,0,0.094,0.906
11/14/2019,0,0,0,1
11/14/2019,0.4019,0.124,0,0.876
11/14/2019,0,0,0,1
11/14/2019,-0.2263,0.166,0.221,0.613
11/14/2019,0.7506,0.242,0,0.758
11/14/2019,0,0,0,1
11/14/2019,0,0,0,1
11/14/2019,-0.1027,0.079,0.094,0.827
11/14/2019,0.4215,0.097,0,0.903
11/14/2019,-0.34,0,0.103,0.897
11/14/2019,0,0,0,1
11/15/2019,-0.8402,0,0.36,0.64
11/15/2019,-0.1027,0.079,0.094,0.827
11/15/2019,-0.1027,0.079,0.094,0.827
11/15/2019,0.7351,0.205,0,0.795
11/15/2019,-0.1027,0.079,0.094,0.827
11/15/2019,-0.1027,0.079,0.094,0.827
11/15/2019,-0.5106,0,0.136,0.864
11/16/2019,0,0,0,1
11/16/2019,0,0,0,1
11/16/2019,0,0,0,1
11/16/2019,0,0,0,1
11/16/2019,-0.296,0,0.115,0.885
11/16/2019,0,0,0,1
11/16/2019,-0.1027,0.079,0.094,0.827
11/17/2019,-0.8074,0,0.342,0.658
11/18/2019,0,0,0,1
11/18/2019,0.4019,0.101,0,0.899
11/18/2019,0.4939,0.138,0,0.862
11/18/2019,0.6908,0.206,0,0.794
11/18/2019,0,0,0,1
11/18/2019,0.4215,0.097,0,0.903
11/18/2019,-0.4588,0,0.125,0.875
11/18/2019,0.6705,0.2,0,0.8
11/18/2019,0,0,0,1
11/18/2019,-0.4588,0,0.125,0.875
11/18/2019,-0.4588,0,0.125,0.875
11/18/2019,0.4404,0.121,0,0.879
11/18/2019,0.4767,0.17,0,0.83
11/18/2019,0.4767,0.17,0,0.83
11/18/2019,0.4404,0.121,0,0.879
11/18/2019,0,0,0,1
11/18/2019,0,0,0,1
11/19/2019,0.3612,0.116,0,0.884
11/19/2019,0,0,0,1
11/19/2019,0.3182,0.108,0,0.892
11/19/2019,0.4404,0.121,0,0.879
11/19/2019,0,0,0,1
11/19/2019,0.5994,0.189,0,0.811
11/19/2019,0.2263,0.083,0,0.917
11/19/2019,-0.6808,0,0.196,0.804
11/19/2019,0.4939,0.118,0,0.882
11/20/2019,0.0772,0.145,0.133,0.723
11/20/2019,-0.1027,0.079,0.094,0.827
11/20/2019,0.4215,0.097,0,0.903
11/20/2019,-0.3818,0,0.11,0.89
11/20/2019,0,0,0,1
11/20/2019,0.4215,0.097,0,0.903
11/20/2019,-0.2732,0,0.08,0.92
11/20/2019,0.6124,0.25,0,0.75
11/20/2019,0,0,0,1
11/20/2019,-0.4767,0,0.107,0.893
11/20/2019,-0.1027,0.079,0.094,0.827
11/20/2019,0.6124,0.208,0,0.792
11/20/2019,0,0,0,1
11/21/2019,0,0,0,1
11/21/2019,0.3182,0.108,0,0.892
11/21/2019,0.6124,0.25,0,0.75
11/21/2019,0,0,0,1
11/21/2019,0.6124,0.208,0,0.792
11/21/2019,0,0,0,1
11/21/2019,0,0,0,1
11/22/2019,0.4019,0.101,0,0.899
11/22/2019,0,0,0,1
11/22/2019,0,0,0,1
11/22/2019,0.5994,0.182,0,0.818
11/22/2019,-0.34,0,0.13,0.87
11/22/2019,0,0,0,1
11/22/2019,-0.1027,0.079,0.094,0.827
11/22/2019,0,0,0,1
11/22/2019,0.2263,0.083,0,0.917
11/22/2019,-0.1027,0.079,0.094,0.827
11/22/2019,0,0,0,1
11/22/2019,0,0,0,1
11/23/2019,0.2732,0.077,0,0.923
11/23/2019,0,0,0,1
11/23/2019,0.6597,0.213,0,0.787
11/23/2019,0,0,0,1
11/23/2019,0.4215,0.097,0,0.903
11/23/2019,-0.1027,0.079,0.094,0.827
11/23/2019,-0.1027,0.079,0.094,0.827
11/23/2019,0,0,0,1
11/24/2019,0.4019,0.101,0,0.899
11/24/2019,0,0,0,1
