date,datetime,desc,img,link,media,title
"Jan 2, 2020",2020-01-02,"Gilead, Biogen, GSK, Pfizer and Others Increase List Prices of Some Drugs. Published: Jan 02, 2020 By Alex Keown. Drug price increase. Pharmaceutical ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/pharma-companies-ring-in-the-new-year-with-annual-list-price-increases/,BioSpace,"Gilead, Biogen, GSK, Pfizer and Others Increase List Prices of Some Drugs"
"Jan 3, 2020",2020-01-03,"US drugmaker Pfizer has started the year by raising drug prices by as much as 15 per cent while other drugmakers also put up thousands of prices, in spite of ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.ft.com/content/2bbab766-2e41-11ea-a126-99756bd8f45e,Financial Times,Pfizer and other drugmakers start 2020 with price rises
"th · Jan 2, 2020",2020-01-02,"Pfizer's largest percent increases, 15%, are on its heparin products, which are generic blood thinners typically administered in hospitals.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.wsj.com/articles/drug-prices-climb-by-5-8-on-average-less-than-last-year-11577984680,Wall Street Journal,"Drug Prices Climb by 5.8% on Average, Less Than Last Year"
"Jan 30, 2020",2020-01-30,"While Pfizer's year-end results were certainly nothing to write home about, it's still fairly rare for a megacap pharma company to fall by high single-digits in just a ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fool.com/investing/2020/01/30/is-pfizer-stock-a-buy.aspx,Motley Fool,Is Pfizer Stock a Buy?
"Jan 28, 2020",2020-01-28,"(Reuters) - Pfizer Inc PFE.N on Tuesday reported quarterly profit that fell short of Wall Street expectations for the first time in at least two years, and the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-pfizer-results-idUSKBN1ZR1AX,Reuters,Pfizer profit misses estimates as revenue falls; plans no 2020 share repurchases
"Jan 29, 2020",2020-01-29,"Pfizer's restructuring into a leaner company is still ongoing, and in the meantime its facing a challenging period as big brands like Ibrance and Xeljanz show ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",http://www.pmlive.com/pharma_news/vyndaqel_a_bright_spot_as_pfizer_comes_under_pressure_1323655,PMLiVE,Vyndaqel a bright spot as Pfizer comes under pressure
"Jan 13, 2020",2020-01-13,"Under the deal, Pfizer will get $75 million upfront and will be eligible for $635 million in potential milestone payments. Biogen said it plans to develop the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-biogen-alzheimers-idUSKBN1ZC1DE,Reuters,"Biogen to buy early-stage potential Alzheimer's, Parkinson's treatment from Pfizer"
"Jan 6, 2020",2020-01-06,"Pfizer and Merck KGaA's Checkpoint Inhibitor Prolongs Survival in Urothelial Carcinoma. Published: Jan 06, 2020 By Mark Terry. Bladder Cancer. Pfizer and EMD ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/pfizer-and-germany-s-merck-kgaa-bladder-cancer-trial-prolonged-survival/,BioSpace,Pfizer and Merck KGaA's Checkpoint Inhibitor Prolongs ...
"Jan 23, 2020",2020-01-23,A new collaboration with Pfizer Inc. will enable the University of Louisville's Division of Infectious Diseases to play a significant role in epidemiologic research ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.uoflnews.com/post/uofltoday/pfizer-inc-designates-uofl-first-of-its-kind-center-of-excellence-for-epidemiological-research/,uoflnews.com,Pfizer Inc. designates UofL first-of-its-kind Center of ...
"Jan 15, 2020",2020-01-15,Pfizer Inc. is planning an initial public offering of its consumer-health joint venture with GlaxoSmithKline Plc in three to four years as the two drugmakers turn ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.bloomberg.com/news/articles/2020-01-15/pfizer-eyes-ipo-of-joint-venture-with-gsk-in-three-to-four-years,Bloomberg,Pfizer Eyes IPO of Glaxo Consumer Venture in 3 to 4 Years
