date,datetime,desc,img,link,media,title
"Feb 27, 2020",2020-02-27,"With the board appointments of former leaders at Pfizer and Mylan, generics megamerger Viatris has already indicated its predecessors would play an outsized ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-mylan-vets-tapped-for-viatris-board-c-suite-as-merger-nears,FiercePharma,"Pfizer, Mylan vets tapped for Viatris board, C-suite as merger ..."
"Feb 27, 2020",2020-02-27,"Finally, I want to thank Don for his two decades of service on Pfizer's Board of Directors.” Mylan Chairman, and incoming Viatris Executive Chairman, Robert J.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200227005273/en/Mylan-and-Pfizer-Finalize-Appointments-to-Viatris-Board-of-Directors,,Mylan and Pfizer Finalize Appointments to Viatris Board of ...
"Feb 27, 2020",2020-02-27,"Narula's strong, 16-year history with Pfizer encompasses several financial leadership positions, where he has worked under the leadership of Pfizer's Chief ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.prnewswire.com/news-releases/mylan-and-pfizer-announce-appointment-of-viatris-chief-financial-officer-301012216.html,,Mylan and Pfizer Announce Appointment of Viatris Chief ...
"Feb 27, 2020",2020-02-27,(Reuters) - Pfizer Inc PFE.N on Thursday warned that the continued spread of the coronavirus globally could have an adverse impact on its business and ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://in.reuters.com/article/us-china-health-pfizer/pfizer-warns-of-hit-to-financial-results-on-continued-coronavirus-outbreak-idUSKCN20L2XB,Reuters,Pfizer warns of hit to financial results on continued coronavirus outbreak
"Feb 5, 2020",2020-02-05,"GlaxoSmithKline made clear it intended to spin off its consumer health joint venture with Pfizer when the partners first unveiled the deal. Now, the British ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/gsk-kicks-off-2-year-program-to-spin-off-consumer-health-and-possibly-prescription,FiercePharma,GlaxoSmithKline's spinoff plan is here—and it may not be ...
"Feb 6, 2020",2020-02-06,"Read retired as Pfizer's executive chairman on Dec. 31, 2019, completing an extraordinary, 41-year career with the global pharmaceutical company. “During his ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200206005228/en/DXC-Technology-Names-Ian-Read-Former-Chairman-and-CEO-of-Pfizer-as-Board-Chairman,Business Wire,"DXC Technology Names Ian Read, Former Chairman and ..."
"Feb 18, 2020",2020-02-18,"Saama and Pfizer to Transform Work of Clinical Data Managers and Monitors With AI. February 18, 2020 09:44 AM Eastern Standard Time. CAMPBELL, Calif.--( ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200218005688/en/Saama-and-Pfizer-to-Transform-Work-of-Clinical-Data-Managers-and-Monitors-With-AI,,Saama and Pfizer to Transform Work of Clinical Data ...
"Feb 5, 2020",2020-02-05,"Meanwhile, GlaxoSmithKline is spinning off the combination of its consumer health arm and Pfizer's to allow it to focus on new drugs in cancer and immunology.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.statnews.com/2020/02/05/merck-to-spin-off-new-6-5-billion-firm-focused-on-womens-health-older-drugs/,STAT,Merck to spin off new $6.5B firm focused on women's health ...
"Feb 11, 2020",2020-02-11,"Pfizer and Astellas' Xtandi has been locked in a heated prostate cancer tussle with a challenger from Johnson & Johnson and, more recently, one from Bayer.","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/pharma/pfizer-astellas-xtandi-scores-bayer-matching-win-extending-prostate-cancer-patients-lives,FiercePharma,"Pfizer, Astellas' Xtandi scores Bayer-matching win in ..."
"Feb 19, 2020",2020-02-19,"Pfizer's resurgent rare disease drug Vyndaqel has had its uses extended by the EMA, becoming the first drug in the EU for cardiomyopathy resulting from rare ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",http://www.pmlive.com/pharma_news/pfizers_vyndaqel_is_first_eu_therapy_for_attr_cardiomyopathy_1326459,PMLiVE,Pfizer's Vyndaqel is first EU therapy for ATTR cardiomyopathy
