date,datetime,desc,img,link,media,title
"Jun 2, 2020",2020-06-02,"Those funds will provide financial support for the development of therapeutics, as well as access to Pfizer's scientific expertise from its R&D teams. Pfizer said the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/pfizer-has-500-million-to-invest-in-publicly-traded-biotechs/,BioSpace,Pfizer Establishes $500 Million Fund to Invest in Publicly ...
"Jun 2, 2020",2020-06-02,"In a pandemic world, the biotech funding environment couldn't look brighter, and today Pfizer shone its own light. The Big Pharma giant is committing $500 ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercebiotech.com/biotech/pfizer-to-funnel-500m-into-biotechs-offering-crucial-capital-during-covid-crisis,FierceBiotech,"Pfizer to funnel $500M into biotechs, offering 'crucial capital ..."
"Jun 2, 2020",2020-06-02,"""There has never been a more important moment to pursue new collaborations in our industry,"" said John Young, Pfizer's chief business officer, as he unveiled the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.marketwatch.com/story/pfizer-to-invest-up-to-500-million-in-small-and-medium-sized-biotech-companies-2020-06-02,MarketWatch,Pfizer to invest up to $500 million in small and medium-sized biotech companies
"Jun 26, 2020",2020-06-26,Pfizer's news came the same day that Vaxart Inc. (NASDAQ:VXRT) said its vaccine had been selected for a preclinical study sponsored by the Trump ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biocentury.com/article/305571/pfizer-biontech-on-track-to-make-hundreds-of-millions-of-covid-19-vaccine-doses-this-year,,"Pfizer, BioNTech on track to make hundreds of millions of ..."
"Jun 2, 2020",2020-06-02,"Are Pfizer's Growth Prospects in Trouble With Its Shocking Ibrance Setback? The drugmaker says it will still hit its revenue-growth projections, but that will be ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fool.com/investing/2020/06/02/are-pfizers-growth-prospects-in-trouble-with-its-s.aspx,Motley Fool,Are Pfizer's Growth Prospects in Trouble With Its Shocking Ibrance Setback?
"Jun 18, 2020",2020-06-18,Pfizer and Sangamo Announce Updated Phase 1/2 Results Showing Sustained Factor VIII Activity Levels and No Bleeding Events or Factor Usage in 3e13 vg/kg ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200618005091/en/Pfizer-and-Sangamo-Announce-Updated-Phase-12-Results-Showing-Sustained-Factor-VIII-Activity-Levels-and-No-Bleeding-Events-or-Factor-Usage-in-3e13-vgkg-Cohort-Following-giroctocogene-fitelparvovec-SB-525-Gene-Therapy,,Pfizer and Sangamo Announce Updated Phase 1/2 Results ...
"Jun 26, 2020",2020-06-26,"The lawsuit, which was filed in a federal court in New York Friday, concerns two planned copay assistance programs for Pfizer's drug tafamidis, which treats a ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.statnews.com/2020/06/26/pfizer-sues-trump-admin/,STAT,Pfizer sues Trump administration to overturn anti-kickback rules
"Jun 10, 2020",2020-06-10,"It accuses Novartis unit Sandoz, Teva generic unit Actavis, Mylan Inc, Pfizer and other companies of breaking antitrust law by dividing up markets and rigging ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.foxbusiness.com/money/us-attorney-general-sue-dermatology-drug-makers,Fox Business,"Pfizer, Mylan, Novartis sued by U.S. attorneys general for price-fixing, antitrust violations"
"Jun 11, 2020",2020-06-11,"FDA Approves Pfizer's Oncology Supportive Care Biosimilar, NYVEPRIAâ„¢ (pegfilgrastim-apgf). June 11, 2020 08:00 AM Eastern Daylight Time. NEW YORK--( ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200611005430/en/FDA-Approves-Pfizer%E2%80%99s-Oncology-Supportive-Care-Biosimilar-NYVEPRIA%E2%84%A2-pegfilgrastim-apgf,,FDA Approves Pfizer's Oncology Supportive Care Biosimilar ...
"Jun 25, 2020",2020-06-25,"Pfizer Declares Third-Quarter 2020 Dividend. Board of Directors approves quarterly cash dividend of $0.38 per share. June 25, 2020 12:14 PM Eastern Daylight ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200625005712/en/Pfizer-Declares-Third-Quarter-2020-Dividend,,Pfizer Declares Third-Quarter 2020 Dividend
"Jun 10, 2020",2020-06-10,Pfizer Announces Positive Top-Line Results from JADE TEEN Trial of Abrocitinib in Adolescents with Moderate-to-Severe Atopic Dermatitis. -Observed ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200610005024/en/Pfizer-Announces-Positive-Top-Line-Results-from-JADE-TEEN-Trial-of-Abrocitinib-in-Adolescents-with-Moderate-to-Severe-Atopic-Dermatitis,,Pfizer Announces Positive Top-Line Results from JADE TEEN ...
"Jun 8, 2020",2020-06-08,"Valneva and Pfizer announced their collaboration at the end of April 2020 to develop and commercialize Valneva's Lyme disease vaccine candidate VLA15, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.globenewswire.com/news-release/2020/06/08/2045093/0/en/Valneva-announces-HSR-clearance-for-Lyme-vaccine-collaboration-with-Pfizer.html,,Valneva announces HSR clearance for Lyme vaccine ...
"Jun 24, 2020",2020-06-24,"“Expanding on Pfizer's existing ATLAS surveillance platform, the SPIDAAR program will offer transparent and open access to critically important data in the region, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200624005133/en/Pfizer-and-Wellcome-Launch-Surveillance-Program-to-Combat-Growing-Threat-of-Antimicrobial-Resistance-in-Sub-Saharan-Africa,,Pfizer and Wellcome Launch Surveillance Program to Combat ...
"Jun 12, 2020",2020-06-12,NEW YORK--(BUSINESS WIRE)--Pfizer Inc. (NYSE: PFE) invites investors and the general public to view and listen to a webcast of a conference call with ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200612005026/en/Pfizer-Invites-Public-to-View-and-Listen-to-Webcast-of-June-18-Conference-Call-with-Analysts-to-Review-Data-Presentations-at-Scientific-Conferences-during-the-Week-of-June-15th,,Pfizer Invites Public to View and Listen to Webcast of June 18 ...
"Jun 22, 2020",2020-06-22,"Pfizer's 20vPnC vaccine candidate includes 13 serotypes already included in Prevnar 13® (13vPnC). Together, the 20 serotypes included in 20vPnC are ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200622005177/en/Pfizer-Announces-Start-of-Four-Phase-3-Clinical-Trials-for-Investigational-Vaccines,,Pfizer Announces Start of Four Phase 3 Clinical Trials for ...
"Jun 16, 2020",2020-06-16,Merck and Pfizer's SGLT2 Inhibitor STEGLATROTM (ertugliflozin) Meets Primary Endpoint in VERTIS CV Trial for Patients with Type 2 Diabetes and ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200616005752/en/Merck-and-Pfizer%E2%80%99s-SGLT2-Inhibitor-STEGLATROTM-ertugliflozin-Meets-Primary-Endpoint-in-VERTIS-CV-Trial-for-Patients-with-Type-2-Diabetes-and-Atherosclerotic-Cardiovascular-Disease,Business Wire,Merck and Pfizer's SGLT2 Inhibitor STEGLATROTM ...
"Jun 18, 2020",2020-06-18,"Prior to the Combination, Pfizer will contribute the Upjohn Business to Newco, so that the Upjohn Business is separated from the remainder of Pfizer's businesses ( ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200618005264/en/Upjohn-Announces-Pricing-of-Senior-Notes-in-Connection-with-the-Proposed-Combination-of-Mylan-and-Upjohn,Business Wire,Upjohn Announces Pricing of Senior Notes in Connection with ...
"Jun 1, 2020",2020-06-01,"Pfizer's efforts, including its vaccine partnership with BioNTech, will also be discussed during the series. Host Lindsey Dietschi, vice president and lead on global ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercepharma.com/marketing/pfizer-latest-podcast-series-addresses-covid-19-issues-under-antigen,FiercePharma,Pfizer's latest podcast series centers on COVID-19 research ...
"Jun 16, 2020",2020-06-16,"The purpose of the call is to provide an update on Pfizer's results, as reflected in the company's Second Quarter 2020 Performance Report, to be issued that ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200616005219/en/Pfizer-Invites-Public-to-View-and-Listen-to-Webcast-of-July-28-Conference-Call-with-Analysts,,Pfizer Invites Public to View and Listen to Webcast of July 28 ...
